gene	DTL	Interstitial	Immune	ATL/TAL	EC	PC	PT	TAL	IC	CNT	DCT	PEC	POD
CHI3L1	0.007651405	0.047357667	0.037427178	0.02773224	0.000373507	0.00186683	0.018062252	0.006890797	0.016920366	0.014227214	0.036574994	0.389072414	1.824457654
HPD	0.061643414	0.069431446	0.035826233	0.050430326	0.075126639	0.157131348	1.881851591	0.099898536	0.081644144	0.112026285	0.146488094	0.113174935	0.092127852
LRP2	0.360650291	0.108209548	0.062703891	0.045032094	0.063911364	0.174131719	1.861014376	0.019895311	0.04723756	0.067206281	0.069158484	0.91581586	0.109843179
NOTCH3	0.130795552	1.939347995	0.009840922	0.186420127	0.030448427	0.369638517	0.015850311	0.304145321	0.114903646	0.444457096	0.330216955	0.059520566	0.041653987
GSTA2	0.02778737	0.096919467	0.035343261	0.062216939	0.097803082	0.064255653	1.910428513	0.408373235	0.038071516	0.056892128	0.108908267	0.1144778	0.030273693
SH3BGRL3	0.917377598	1.074213455	2.795457509	1.261052291	1.533931739	0.976310511	1.049482785	0.724490809	0.977336196	1.03860708	0.833085742	1.038885442	0.957041055
SLCO2A1	0.152288865	0.055341375	0.006500554	0.077421677	1.767003634	0.068818497	0.051252125	0.02257099	0.025110998	0.145678416	0.027073614	0.01705848	0.135062677
LGALS1	0.35083136	2.892028684	2.287173421	0.738436664	1.790505097	0.61199406	0.538307759	0.29605962	0.420154688	0.708572354	0.324522311	2.089805626	2.398083834
MFGE8	0.022158534	1.768927423	0.031428826	0.03407467	0.294461012	0.015086481	0.049177695	0.011204109	0.025645314	0.019546269	0.00855895	0.257946383	0.228387349
MCAM	0.103310692	1.828266772	0.0107039	0.116228572	0.591404395	0.014659448	0.138777625	0.031102389	0.006106653	0.049212801	0.019585186	0.10957797	0.156406179
PLPP3	0.193433245	0.25863173	0.019521193	0.31582299	1.941471664	0.276543051	0.194502347	0.25936379	0.229585732	0.391357703	0.330749499	0.453444127	0.345829897
CUBN	0.089216141	0.079953314	0.065414656	0.039652768	0.111931262	0.110386463	1.758938708	0.013334724	0.050211532	0.062076354	0.056722227	0.132852062	0.023951758
NTNG1	0.046147474	0.002288337	0.004188778	0.046716283	0.01759273	0.006209119	0.00647235	0.00185699	0.00256869	0.008333987	0.001989291	0.063480842	1.705710618
KDR	0.002704594	0.090166766	0.005563003	0.006290672	1.701738643	0.010255459	0.006361268	0.007407669	0.017975278	0.004121906	0.004730845	0.01322048	0.343906223
ASS1	0.164253759	0.145253343	0.043207326	0.185700295	0.534798778	0.25321865	1.871418202	0.165335321	0.067099284	0.193066935	0.163123287	0.900117446	0.337244351
APOE	0.46928532	1.01643096	1.935113614	0.496140472	0.38966076	1.246524774	3.170989789	0.597756193	3.067477504	0.543610394	0.972693589	0.713250492	0.748853885
LBH	0.434337297	1.889200252	0.477262123	0.145357167	0.302114281	0.065951625	0.274937772	0.060096346	0.22425017	0.055467333	0.071311803	0.723427076	0.80487848
NPDC1	0.256223215	0.504577277	0.115652397	0.600911251	1.882998938	0.302889459	0.187638203	0.092668653	0.096746298	0.331421894	0.082930301	0.382153902	0.590252783
FRZB	0.002637812	1.651063698	0.003929083	0.010427607	0.026185053	0.007003515	0.004923765	0.008828297	0.006336791	0.005005932	0.017139616	0.031851072	0.097226595
SRGN	0.026304894	0.839110691	1.946189624	0.032926552	1.426888145	0.058388784	0.0658001	0.028447777	0.024424784	0.056337928	0.038196305	0.751495676	0.18079785
ARHGDIB	0.110429293	0.825137349	1.940289689	0.089298919	1.1514922	0.317888751	0.098353434	0.055764566	0.153698791	0.32037836	0.042217856	0.228809649	0.189249978
LGALS2	0.333565345	0.10832338	0.928449691	0.049880807	0.070176894	0.126177702	1.938950658	0.057859363	0.033515076	0.073239788	0.074552752	0.581842435	0.06894181
COL1A2	0.068421213	1.705822063	0.011120461	0.077265443	0.042222386	0.033170588	0.087406915	0.072514066	0.038924835	0.232970962	0.275241754	0.464473551	0.215713113
FLNA	1.019795189	2.402529014	1.108079766	0.945721294	1.0399904	0.687335105	0.695352199	0.527127404	0.264668393	0.922396607	0.440142844	1.46449932	1.478488986
RBP5	0.244569935	0.117544204	0.042320527	0.199898654	0.910863918	0.149152114	1.867243846	0.324457062	0.057320289	0.087952787	0.177603949	0.277887621	0.089442175
RBP7	0.137143841	0.279220853	0.109364963	0.050288798	1.685074997	0.085303909	0.030703513	0.070482973	0.39118049	0.046464844	0.072530154	0.086923129	0.092955561
HSD11B2	0.188201545	0.480074742	0.079187501	0.733142697	0.062419	2.843698197	0.266637133	1.228031371	2.081368881	2.92909974	2.319645665	0.215363553	0.497165043
HLA-DQB1	0.119980633	0.108735477	1.926196565	0.230059073	1.086445556	0.320758185	0.319724706	0.109402652	0.183737663	0.325937211	0.112950986	0.220022755	0.117902197
S100A8	0.005335643	0.012287965	1.586731531	0.006526677	0.002359618	0.0010407	0.008092072	0.005374672	0.005129833	0.00420618	0.000438296	0.025089849	0.268843858
CAVIN2	0.05891395	0.099200479	0.022483447	0.058310959	1.618270583	0.022512268	0.037974061	0.036357104	0.017773752	0.053590292	0.043825106	0.142586226	0.14168734
NRGN	0.029224857	1.650227006	0.166703115	0.065347006	0.244504989	0.017046611	0.028520578	0.039136296	0.009460355	0.021936299	0.020336712	0.382130634	0.174848897
FAM167B	0.023214801	0.060718993	0.019935353	0.022909676	1.595338606	0.027978323	0.014735531	0.019150733	0.008759248	0.017198145	0.017392685	0.037275314	0.067480751
PCK1	0.14807532	0.155613951	0.050876252	0.499335773	0.074572286	0.277746793	1.95331474	0.78194142	0.447703818	0.095461078	0.331414119	0.195127705	0.063561654
MT1F	0.948395558	0.429139926	0.333694777	0.940722388	0.185351067	0.71869621	2.220801103	0.660664812	0.469736556	0.862630953	1.089075896	1.627149296	0.766540602
TM4SF18	0.031411778	0.073352598	0.006074012	0.092696547	1.63932161	0.019135982	0.266477237	0.052772709	0.00721585	0.006851873	0.013013929	0.037058825	0.136775633
HEG1	0.165371326	0.208385624	0.081339749	0.08177367	1.602294702	0.035947147	0.078999593	0.022731863	0.011532411	0.023209116	0.009983217	0.267211443	0.259558284
RAC2	0.022034415	0.043159298	1.55844229	0.01855159	0.013046049	0.027941801	0.02923312	0.009140992	0.006755874	0.023548223	0.011030062	0.037751474	0.038637758
SPP1	3.364930972	1.675624577	1.391636744	4.527547835	0.585200475	1.709055951	3.124350649	3.439144407	2.445348126	3.229906859	4.531000817	2.146178265	0.793648708
PPP1R14A	0.037156993	1.720791104	0.208184406	0.017982887	1.16017641	0.00803773	0.01338367	0.020016252	0.010016986	0.019070486	0.006199951	0.028446444	0.351480651
FAM89A	0.075231146	0.103133094	0.056230303	0.042458211	0.160425066	0.02348495	0.03734463	0.019410948	0.009865819	0.013567091	0.016335251	0.235118883	1.576767087
C11orf54	0.864304983	0.41843824	0.231082341	0.681795155	0.421442685	0.70110178	2.176726422	0.948939953	0.675133276	0.586719263	0.737049058	1.447374389	0.468042503
TNNT2	0.075197888	0.0246241	0.002995147	0.006254585	0.037953404	0.008229978	0.099571951	0.005740464	0.004612914	0.00399431	0.005377958	1.553316227	2.248640087
KHK	0.125584232	0.176752822	0.076811238	0.07789473	0.103337187	0.096544761	1.605508624	0.144763596	0.051771513	0.066738094	0.104805281	0.142982468	0.109300642
ETS2	0.25717425	0.568893643	0.324700552	0.251422117	1.740151955	0.119140132	0.226547092	0.199495467	0.183867034	0.155974134	0.228788676	0.501445498	0.920313534
SNCG	0.042360543	1.700950076	0.007470657	0.312192934	1.013414401	0.036714845	0.050527475	0.227656499	0.023643177	0.079711865	0.122943233	0.105054427	0.131201885
COL1A1	0.0335138	1.530115332	0.005566643	0.040830167	0.008774636	0.028502643	0.094796582	0.007344316	0.013258081	0.042362145	0.010463848	0.871816108	0.027847141
TYRO3	0.021795419	0.016075591	0.00449815	0.006363539	0.088244043	0.003268005	0.015451225	0.002189898	0.013604235	0.006433755	0.00644814	0.171579824	1.495552507
CD74	0.995791935	0.858150177	3.484692072	1.481483716	3.746127155	1.441744677	1.70644939	1.166809463	1.416427226	1.776551529	1.027367769	1.287122695	1.136251409
BHMT	0.143558086	0.072983938	0.033186926	0.07349936	0.056348511	0.284864474	1.595976789	0.101140447	0.069467154	0.245109542	0.111503363	0.445140164	0.014922022
AQP1	0.745493836	0.571973026	0.035345749	0.114800749	2.305349215	0.152353207	1.747404837	0.096773273	0.069589789	0.081767856	0.103119064	0.619708921	0.598114114
SEC14L1	0.39887858	0.454484913	0.366223077	0.697050662	1.918732159	0.345782919	0.20020368	0.743782893	0.410403021	0.375089997	0.432347305	0.319216621	0.980783408
ANPEP	0.254074179	0.085175132	0.179577998	0.087146968	0.078744583	0.159078315	1.575829987	0.060489263	0.056264472	0.097286826	0.052797844	0.337728979	0.036478744
SLC14A1	0.033088092	0.19517439	0.033660827	0.023634881	1.484706172	0.009824365	0.005563823	0.009285047	0.009093681	0.00499653	0.002378938	0.034689225	0.088246061
ITGB2	0.015719011	0.026849535	1.478176117	0.038826799	0.022007309	0.011959709	0.042642625	0.016259833	0.016754034	0.010217228	0.011939615	0.092778963	0.014501946
DCN	0.022174832	1.518354234	0.010416046	0.001929001	0.020211887	0.002790541	0.007295253	0.002705088	0.013271126	0.005294776	0.001492403	0.289158144	3.296763576
LIFR	0.519428988	0.417023721	0.01183265	0.415377817	1.82147387	0.416038091	0.282712633	0.645161335	0.362503976	0.388556412	0.431820247	0.503870805	0.518516238
ARRDC4	0.240473611	0.21138752	0.075475991	0.359852581	0.08637309	0.292380695	0.105657378	0.237610224	0.288365173	0.321854111	0.246128322	0.379089868	1.633720234
PAH	0.046461301	0.035542966	0.021683003	0.024670562	0.046318359	0.089422538	1.464250179	0.021465734	0.027779484	0.025889357	0.05907903	0.164729605	0.030271391
PDZK1	0.971328494	0.125442247	0.042831906	0.279835497	0.058429824	0.42556992	1.68374355	0.233442819	0.195799428	0.502007693	0.19601699	1.009442014	0.02081923
ST6GALNAC3	0	0.010600279	0.010249016	0.000570537	0.347466967	0.013300687	0.002911941	0.00230282	0.004760433	0.010282654	0.003340159	0.050683538	1.452501648
ITM2C	0.984941146	1.047735312	0.514007316	2.402307867	0.085736687	1.546962692	0.651299746	1.172291286	0.809358028	1.579576191	1.304388973	0.822338767	1.058280697
LMO2	0.066019697	0.090553542	0.315767085	0.052471471	1.513100352	0.019466376	0.139770907	0.038117485	0.017157365	0.018526058	0.01291517	0.029337268	0.339218769
CYBA	1.798675138	0.879605703	2.958703457	2.150693278	0.964768365	1.012437846	1.965429513	1.195970134	1.257082276	1.400474118	1.126095768	2.270785282	1.447025653
SGK1	0.214080773	0.21232625	0.691887028	0.416621499	1.882335885	0.381705572	0.502424039	0.249124027	0.227550956	1.024822083	0.545824263	0.335937929	1.148078812
GLYAT	0.13499232	0.048878236	0.029950569	0.030044865	0.038878037	0.082602792	1.439666579	0.033400693	0.028200604	0.023563504	0.035874592	0.21658876	0.010085896
CEACAM1	0.008947462	0.020305045	0.016182812	0.011674332	1.418967554	0.00685331	0.063960284	0.003832791	0.009353513	0.007404834	0.007360705	0.018376859	0.087269774
TM4SF1	0.379306259	1.996925639	0.011943795	0.654436839	2.32026963	0.033040831	0.206003259	0.082833949	0.020812024	0.041489416	0.025705895	1.310044233	0.410428592
CLDN10	0.722181907	0.283485089	0.044231648	2.257919744	0.066452969	0.354676526	0.608519766	1.902351724	0.110989213	0.350963524	0.311357762	0.43929493	0.150243893
ACSM2A	0.292413687	0.074113442	0.037818099	0.060871012	0.052618431	0.113835093	1.445190913	0.041575377	0.036165994	0.042988402	0.049009423	0.312796541	0.012498126
FBP1	0.218017864	0.095114516	0.400004248	0.117201936	0.079860087	0.547716461	1.666357674	0.158231262	0.331811976	0.359052665	0.196423556	0.207145222	0.059209587
PRODH2	0.040177486	0.043892385	0.024813463	0.015532645	0.051226242	0.065110397	1.413624798	0.024307229	0.021460339	0.029209923	0.041407569	0.238139965	0.411023298
AK4	0.20751486	0.15329236	0.044617652	0.16909818	0.151387011	0.110640028	1.508416466	0.239235033	0.042410659	0.061551971	0.055858474	0.283865478	0.152546028
SPTBN1	1.013832766	1.272512295	0.232511041	0.986072151	2.318021094	1.073275938	0.985877699	1.051909919	0.85990759	1.057363544	1.073466759	1.297923499	1.159009105
MYLK	0.242583614	1.66339459	0.021095019	0.395365397	0.65870257	0.07249484	0.38246946	0.342239997	0.098005979	0.123123674	0.128387262	0.879919993	1.175429724
PEPD	0.389379217	0.354195104	0.299675469	0.345250666	0.519841383	0.361518897	1.731164104	0.340480856	0.366829893	0.318179342	0.342102675	0.50051912	0.283826847
TINAGL1	0.620092176	1.971051025	0.024600165	0.742704618	1.43487903	0.600178941	0.667543098	0.37144251	0.29228372	0.623154884	0.539119361	0.878847225	0.244444349
IL18	0.176971617	0.068822826	0.484485108	0.082545703	0.016819249	0.501961048	0.354301868	0.058362831	1.636277668	0.105034905	0.063789073	0.447618028	0.090580321
CXCR4	0.026551704	0.088238079	1.406605194	0.046879793	0.089584586	0.024579799	0.025959355	0.124021113	0.016065951	0.022836678	0.045029775	0.034554449	0.014750575
VIM	1.176902208	2.957455865	2.348442361	0.779948793	2.459668326	0.417707464	1.957820135	0.218281453	0.175160534	0.607762821	0.164143962	2.857872694	3.064739016
MGST1	0.376810372	0.297760597	0.148453208	0.742626112	0.086609914	1.101583365	1.961995778	0.808010139	0.33708515	0.941238588	0.217807027	0.452218071	0.155847707
ACSM2B	0.151513285	0.065972115	0.030342794	0.044217746	0.059354785	0.084628338	1.383246235	0.039386552	0.037684359	0.02748905	0.040464065	0.25106219	0.00478595
MEF2C	0.05974917	1.800534058	0.95995038	0.234152637	1.475735021	0.067871933	0.044517434	0.287616247	0.082839816	0.058391719	0.166938753	0.327190548	0.163079169
LDB2	0.004390954	0.13913151	0.00772718	0.008546694	1.342216508	0.00786157	0.008043788	0.007534396	0.00900155	0.004674509	0.003709965	0.056000488	0.260916758
AKR1A1	0.627714286	0.398516255	0.663023938	0.502073719	0.382457829	0.463097777	1.793171845	0.350214722	0.417118152	0.433898309	0.323275085	0.789135306	0.499292016
ICAM2	0.035190085	0.196273504	0.34876369	0.052605152	1.4273233	0.08497089	0.016042499	0.043444836	0.036066035	0.059923259	0.070121896	0.027508978	0.14310564
CSRP1	0.361611479	1.802867794	0.293988164	0.473531329	0.925119755	0.61682737	0.295308285	0.366091043	0.412607059	0.847971429	0.596001175	0.898022747	1.707353231
NUPR1	1.913834427	1.341838254	0.118530246	0.452659988	0.452092209	0.322511143	1.130671692	0.184381372	0.101682365	0.257379263	0.117635452	1.710018471	1.821069198
DPEP1	0.092637731	0.065557712	0.037989249	0.027611278	0.054240773	0.110045424	1.361331697	0.031181603	0.026231819	0.037650758	0.03865087	0.21000258	0.009900541
MT1M	0.342121765	1.862847503	0.041524045	0.313380892	1.584103136	0.083285661	0.844612946	0.222722252	0.07191585	0.098789205	0.472453933	1.06722518	0.305964754
TIMP1	1.148688262	2.382111308	1.380208014	2.005159236	1.436749078	0.247568791	1.09016449	0.438400135	0.347117848	0.838514771	0.252698652	2.436069131	1.941737112
ID4	1.61898848	0.987254998	0.014269362	0.415781749	0.03548766	0.673939449	0.300872621	0.281521867	0.193520705	0.312829665	0.134502723	0.542399725	0.468287795
SCNN1G	0.019489489	0.092539179	0.008579048	0.013829429	0.007772152	1.429046934	0.013638182	0.039213602	0.296093976	1.060375201	0.119990757	0.009288112	0.073852661
SH3BP5	0.005691054	0.223405917	0.363146337	0.024772116	1.449609289	0.135670163	0.223530563	0.018120006	0.028059321	0.104443373	0.014539037	0.30532833	1.031464233
COL6A2	0.15012645	1.437221213	0.103628817	0.103329782	0.525652907	0.027604139	0.230206977	0.010377671	0.117832009	0.022869817	0.005772813	1.10524575	0.076979882
ARMH4	0.223403707	0.011506475	0.001808457	0.064171976	0.030665061	0.007838904	0.041530021	0.10325265	0.042745886	0.033120687	0.0355027	0.128301614	1.329712214
ENPP2	0.03015353	0.136912582	0.070745155	0.029904045	1.406024503	0.020410098	0.322992094	0.049018524	0.05000722	0.012255362	0.021544331	0.050510342	0.059619268
DUSP11	0.215116277	0.206601906	0.208312787	0.202767665	0.541284108	0.195879112	0.209487387	0.146188908	0.160767236	0.170810381	0.171964186	0.183535241	0.23411637
ECHS1	0.858813352	0.672798866	0.544796729	0.961374273	0.52016266	1.045902779	2.195832133	1.039593219	1.250206008	1.021502816	1.046831816	0.913310414	0.768066978
SLC4A11	0.319131427	0.070680321	0.002294837	0.062771654	0.012933988	0.02205495	0.087999294	0.032132554	0.013618101	0.027968575	0.016147828	1.320893786	0.010759539
ISYNA1	0.260427887	1.590794755	0.096542029	0.366819817	0.271142767	0.353871861	0.188609167	0.558524634	0.232735824	0.388538573	0.643253339	0.512947288	0.270484296
ARHGAP28	0.004261292	0.021582978	0.001151147	0.004318435	0.201867648	0.042697387	0.053861374	0.002392542	0.062228836	0.030216173	0.025398175	0.112316305	1.301987181
PTN	0.028566784	1.320748876	0.002235056	0.197962442	0.013781396	0.015925543	0.117627301	0.030047515	0.092422983	0.016752934	0.004909372	0.275811879	0.123926104
TIMP3	0.283589771	2.590306174	0.07464809	0.89401771	3.433684788	0.609796295	0.245772896	0.424164873	0.629659503	1.11001398	0.702914883	1.144808657	1.98743089
IGF1	0.019612928	0.285425879	0.071142165	0.003358667	0.04135968	0.065844233	0.03814307	0.003072362	0.038391869	0.008636574	0.000816757	0.289766019	1.302952594
SLC16A9	0.087267813	0.088509952	0.029450196	0.037607928	0.126802016	0.084329803	1.313881494	0.041287086	0.024678666	0.042881824	0.085531883	0.149816174	0
DAB2	0.896858898	0.28621931	0.475249588	0.577785551	0.97868168	0.627960201	1.791066975	0.366087089	0.338727641	0.478191002	0.265092603	0.923699584	1.40827332
GBP4	0.028401212	0.256203366	0.312737496	0.036913092	1.326732275	0.023578157	0.021688209	0.010245008	0.008858386	0.013796749	0.005031713	0.079436856	0.116682995
RPS19	3.244586594	2.889551561	4.065300063	2.904826016	2.721042941	2.622594096	2.994950877	2.560099397	3.064454865	2.750696076	2.496801378	3.228732099	2.102554003
