gene	DNAme.Ave	H3K4me3.Ave	H3K4me1.Ave	H3K27ac.Ave	H3K27me3.Ave
LIFR	0.503858469	1.620618141	9.437335794	4.959821661	0.416408361
ARRDC4	0.053890623	39.29901042	2.338756622	5.505512472	0.716795814
PAH	0.16848485	59.66214559	2.660605867	12.40097085	2.700970735
PDZK1	0.399410338	57.57317486	4.141559154	24.2002395	0.600982271
ST6GALNAC3	0.023385362	31.56703509	3.488179104	3.436137816	0.990626338
ITM2C	0.085971748	11.20600356	0.696049529	2.564119625	0.975633965
LMO2	0.0882266	65.50510328	1.029947381	8.650362126	0.951702014
CYBA	0.356773436	29.95282572	1.678796079	9.146361061	0.466859461
SGK1	0.066783013	45.55500827	1.198768753	13.2438927	0.40273808
GLYAT	0	19.83192708	7.529914148	7.556327136	0.425539208
CEACAM1	0.692577034	62.55696761	3.60528894	11.24809769	0.836901177
TM4SF1	0	13.89978351	9.172855066	7.558130412	1.603805875
CLDN10	0.395384326	123.8349102	3.376171933	13.32978589	0.632188983
ACSM2A	0.454970121	71.17923462	0.984101521	16.8697664	0.620821114
FBP1	0.258259732	65.50125236	1.577225525	12.36856618	0.472963681
PRODH2	0.4058769	71.68222226	0.993032744	10.88939724	2.26006063
AK4	0.009939511	48.76891426	0.544139656	10.46044783	1.201746914
SPTBN1	0.023936952	47.10047022	1.283075488	10.60592624	0.89509302
MYLK	0	2.096251172	4.813815355	6.084277772	0.551051362
PEPD	0.43875036	32.81766818	2.660271403	7.661001207	0.539662766
TINAGL1	0.250437789	16.47326832	6.195651217	18.32667197	0.740671444
IL18	0.462783889	45.07219137	5.273523652	8.92503262	0.415963624
CXCR4	0	40.4282267	6.354612872	2.801251539	5.546865552
VIM	0.050105059	51.56710011	3.662803467	5.235949107	1.178837997
MGST1	0.318872427	63.33914272	4.417236683	16.79827827	1.938311082
ACSM2B	0.416510421	95.75201261	1.064618187	16.82030374	0.467219753
MEF2C	0	9.803635903	12.11021758	6.776612465	0.885681972
LDB2	0.126516366	27.3497956	6.220433072	3.312679541	1.222431291
AKR1A1	0	57.33271473	1.874855135	13.21378699	0.264644242
ICAM2	0.186598371	13.89798237	2.301438528	3.625990781	0.633763185
CSRP1	0.556699906	1.258528712	9.813574656	7.026190289	0.270797586
NUPR1	0	35.2216332	1.34757739	7.060011914	0.691344592
DPEP1	0.328339443	13.42842562	2.363899103	7.877909511	0.93307234
MT1M	0	35.62492173	0.760656363	4.448377097	1.73101237
TIMP1	0.33849586	5.446077758	0.677061705	3.90955161	1.740875829
ID4	0.068128661	53.80036237	1.389867551	8.691007568	1.608471267
SCNN1G	0.057789763	4.739480773	1.00694098	2.209342402	2.602615439
SH3BP5	0.064729719	63.27445188	0.95350059	9.464084425	0.352968718
COL6A2	0.045052161	1.024654715	0.282854838	0.764324904	1.386177767
ARMH4	0.034213228	84.10341588	1.201747215	8.377322873	1.166858644
ENPP2	0.18511905	69.37751908	7.557089454	9.289991558	0.411681192
DUSP11	0.055026395	164.1001427	1.996654229	15.08475002	0.266563541
ECHS1	0.57238872	9.156616157	2.287121819	6.537964476	0.221177785
SLC4A11	0.04892867	20.952082	0.901460952	1.122389035	1.521437
ISYNA1	0.11168662	6.865857464	0.661007334	3.262092465	0.751588278
ARHGAP28	0.043417368	44.37541862	2.421285637	11.91961939	0.80699953
PTN	0.185463662	10.79841033	9.302023825	1.551563542	4.016439714
TIMP3	0.124637734	16.45432192	0.721661496	5.102989614	1.419849276
IGF1	0	11.15288489	17.34613483	4.520083682	0.728850064
SLC16A9	0	0.891695719	5.337601344	6.153472947	1.013672795
DAB2	0.011904762	80.74815329	1.795041378	17.21152947	0.53424799
GBP4	0.200533771	64.71355129	5.772624648	7.492899813	2.330113629
RPS19	0	22.0065616	1.149051044	6.881755039	0.565397831
RBP4	0.175937946	5.487311141	2.455551915	1.394994786	5.30413864
CD14	0.091962194	60.77157072	3.086903081	7.312374517	0.471826414
FTCD	0.339247272	29.71019946	1.444984162	12.74940763	0.839062595
DDC	0.280329885	37.70847586	6.332666098	12.54649353	2.540540532
NR2F1	0.09375	59.8076816	3.956731329	9.90735726	2.088816971
PTP4A3	0.388888899	1.112264368	1.900997629	3.307365025	2.333209981
DPP6	0.132447671	32.16795842	5.196714453	1.22179451	5.42015019
NR2F2	0.052631579	170.488597	2.126499286	27.89646526	0.885129257
FAM24B	0.13194762	39.65562875	1.745393676	3.313484319	1.526948003
LOX	0.057368539	54.42928986	5.697708721	2.520424249	3.886932085
PHYHIP	0.159999996	2.856474797	2.888831887	2.393247369	4.850625931
CALB1	0.120526386	4.042531333	2.034948515	1.714661547	9.064853571
TXN	0.029622133	98.0788233	0.518696338	16.1114159	0.347249095
SYNPO2	0.50175643	96.26979659	4.473683343	4.336013289	1.077788672
MUC1	0.240484632	7.495179062	1.681875822	7.62304071	0.787815012
EFNB2	0.088528085	28.68718165	0.76915633	2.655696456	0.850167295
NOSTRIN	0.386744842	29.32363807	9.007831347	15.01402767	0.856464623
RPS15A	0.053806124	153.3060475	0.675886803	12.18576152	0.509630217
REG1A	0.570460707	1.074457106	8.193107778	2.557756684	1.869605033
ESM1	0.360248785	7.191976592	2.687397315	1.606075822	10.34225142
TRAC	0.42702923	3.55381617	14.5392316	20.32886197	0.265081834
DUSP9	0.212423045	1.649914202	0.699523557	1.44513142	1.575191715
AMN	0.196829186	41.26110903	1.567240595	7.599808124	2.570529506
ITGA7	0.083888656	23.52044606	0.990361518	3.384861639	0.655395632
ALDH6A1	0.250000004	53.07579503	1.590118632	12.29300974	0.355520488
DAPL1	0.172183954	8.120283976	2.783098243	1.719379015	3.038360766
S100A6	0.0625	23.4184689	1.546224195	10.52295611	0.875617503
DEFB1	0.368673954	14.79477556	5.088191606	13.34188027	1.132203259
RPL30	0.025533509	143.0739685	1.054570711	13.70342069	0.229058736
TPM1	0.044676599	11.69500186	1.701462357	3.119608552	2.715495412
EGF	0.07692308	17.16408618	13.04746211	9.603193873	0.910338585
ELK3	0.093572816	35.60484443	0.621862787	3.885822329	0.649555425
RPS29	0.020186336	95.90773749	1.129359399	11.04305488	0.413796822
TMEM101	0.152321066	65.10249221	1.761743165	9.576073305	0.244507227
MMP7	0.272047701	13.62781913	8.325759216	9.785374194	1.094823294
SUCLG1	0.074991951	135.9946703	1.933445248	18.6929776	0.323014692
HLA-B	0.086788214	45.17694659	0.659851718	9.144938084	0.68395116
OCIAD2	0.313447547	57.611759	4.415133441	15.06950883	0.646475594
VCAM1	0.26713709	81.47110283	7.498571323	12.15686964	1.567960448
GPSM3	0.011684783	36.75192889	1.575470446	10.97576928	0.631192645
COTL1	0.103745049	53.90575645	0.735288316	6.959629378	0.431157456
PFN1	0.056227222	28.32142026	0.616826873	8.293752349	0.257901976
LINC01320	0.317908829	39.84632416	2.977594193	18.11947012	0.394003156
FKBP1A	0.012908692	65.74270604	1.313488171	7.368910007	0.241709183
TMSB10	0.029583277	60.0042581	1.061848749	6.322350673	0.267909189
KANK3	0.106392509	8.862561239	1.407549821	3.529911963	1.405119531
SERPINE2	0.525303647	2.668854349	21.12921733	9.536997494	0.492660556
ITGA1	0.097560972	49.54247419	5.433791788	10.84591934	0.745225511
CTSH	0.284372159	2.014935189	5.780702194	16.23518205	0.564609945
SLC13A1	0.406397849	32.67622403	5.307754618	12.19773096	0.552983723
ALOX5AP	0.263412699	2.521788995	13.62925377	7.866278034	0.648827162
PBX1	0	38.68211558	2.064044545	9.496990301	0.500839802
CR1	0.110580539	22.43459355	2.985175837	1.306894287	5.022008015
UGT2A3	0.449999988	81.64052847	5.305798903	13.4715253	0.359943797
CLTRN	0.255979598	29.77615339	5.499537032	7.872159559	1.175430134
CMBL	0.048027114	48.12510458	0.838563892	15.80763154	0.448754934
RIPPLY1	0.509480739	2.707209405	11.71939288	16.50533144	1.211603951
PALLD	0	62.21673717	5.299706438	4.630122754	5.70099957
HMGCS2	0.35952765	14.26433933	8.295596687	10.07453424	0.793534673
NDRG1	0.376811594	0.37137333	2.519687056	12.21426453	0.293408998
BTNL9	0.143164289	1.634516156	0.165820392	0.457207234	1.147756167
PCSK1N	0.27200642	13.94614467	0.654100461	1.640077283	0.984215568
EPAS1	0.045536518	35.9583966	0.542257839	8.467101597	0.332005105
CDC14A	0.398506947	5.959515128	16.43610347	10.25167402	0.339309518
C1orf162	0.400000006	1.425876526	11.28810599	4.404708039	0.307877854
ID3	0	33.79226893	2.164459476	9.887900667	0.425099408
IGFBP2	0.120322642	6.817608602	1.27780259	0.799578087	2.358182358
ACVRL1	0.187208652	9.416850511	0.583861824	2.580205445	1.790541576
SLC22A8	0.480408153	3.890606415	3.82098259	10.60222453	0.944243249
HEPACAM2	0	198.0050557	2.798033703	13.16021537	0.660733871
WFDC1	0.388831642	8.154009298	3.155364683	2.854143941	4.392925886
AQP11	0.191697654	65.10157102	1.663282668	8.99491919	0.365240971
HOPX	0.29206984	5.52532174	7.686312325	2.213254131	6.503054977
SPARC	0.280944258	32.63169672	4.852013602	10.19264476	2.695400002
PIK3C2G	0	7.609760162	17.63183829	3.272592039	0.919660585
CPE	0.09372003	40.80969144	2.156635545	4.013000571	1.844123547
CERS6	0.058584684	51.57293932	0.891414663	7.091809956	0.325215754
THBD	0.061646285	19.60022226	4.228494618	2.323562722	4.644308814
SLC7A2	0.03093212	35.56869846	1.721402505	4.445979964	1.237096529
ECE1	0.062078534	9.158488825	0.14550743	3.699647628	0.4795195
AQP6	0.410538151	2.807430907	2.193591521	2.311146303	1.093340201
ARPC1B	0.080991686	15.25455565	0.227472958	4.439040389	0.167632869
PDE2A	0.052735754	6.817377875	0.417767175	1.620151554	1.117189804
LRRC2	0.097539444	56.90640044	2.517506509	4.423814867	3.188321095
RPS2	0.011039886	47.27817055	0.716073279	8.458872696	0.407681013
CLEC2B	0.5	46.81077733	6.040470243	3.337352546	1.923127863
GZMM	0.074866312	0.398831595	0.533455405	1.297868161	1.0250032
NET1	0.104259096	39.35855242	2.518432796	6.232499568	0.386463217
HLA-DMA	0.616571951	28.68905872	4.317002319	13.17778601	0.47852757
RRAD	0.098297576	5.930472807	0.845300232	5.880365755	1.130720297
MT2A	0.225563759	48.43116423	1.47448457	9.165635238	0.242103369
RIDA	0.035714287	100.4149209	0.749881123	12.03610187	0.187049936
PPP1R12B	0.036838685	72.79982297	1.855733699	8.660416304	0.537320681
LIMCH1	0.047956917	66.51839326	0.767635639	11.02843634	0.967976517
LTBP1	0.113111997	44.61170367	0.782850199	1.951533673	1.061662078
MAP1B	0.053469443	7.192463186	1.289607553	0.700458686	3.040380436
RCAN2	0.414196955	8.30799154	11.81771269	5.296338777	0.791356402
CASKIN2	0.05225141	21.55754702	0.350434443	5.938438428	0.387135423
KIT	0.066188877	37.32627549	3.218338414	1.262046008	4.1928295
SLC5A12	0.526048015	72.05595706	1.926999579	15.37158024	1.409871846
DCXR	0.07213216	28.98713243	1.076083104	9.855603389	0.256901844
PROM1	0.418999439	1.258992274	7.821449117	4.783730965	2.896618929
DUSP2	0.133565386	8.086592801	1.295498277	2.49195212	0.734755496
KANK2	0.080032208	13.14553212	0.220276467	4.922799022	0.277953904
IL32	0.487315796	18.69932242	2.345159448	10.90449604	0.809651089
TYMP	0.046979988	3.674963776	0.491926224	4.967504061	0.447194129
CD7	0.057386365	1.257018203	0.94335352	2.272040558	0.81762074
DSG2	0.100654012	53.55549529	1.076120139	7.704559912	2.978285529
PLAC8	0.141595473	46.62332556	1.52228015	4.393676881	0.811310899
RRAS	0.07504142	25.50066812	1.682496453	12.19090388	0.767473295
SLC25A39	0.030908473	41.75461201	1.265712151	9.338697258	0.225563396
SERPINB6	0.32432431	2.162340017	9.297940147	6.073871456	0.159632184
CKLF	0.107127367	55.97686783	2.478167024	13.82854426	0.456256331
EFNB1	0.222439897	24.45614478	0.757941883	4.728826111	0.682518878
GMDS	0.408920541	1.352743842	6.546416996	3.123275524	0.370307223
ENPEP	0.268310553	69.13909933	4.380549752	10.70447062	2.653255882
TGFB1I1	0.383940991	12.07824304	3.520473103	3.810686844	0.751696269
APOLD1	0.08129647	41.36640033	2.430292661	9.073297793	0.252793222
RPL39	0.230902802	89.33897224	0.438767129	11.23494696	0.511548957
PALMD	0.261209888	15.43855136	13.41656224	9.116586535	1.05921035
MT1A	0.110650491	13.13326698	1.046572145	2.666856688	2.390903353
EHD4	0.039279034	37.66062815	1.49347221	6.942680354	0.275629647
ARHGEF17	0.045892247	26.85878904	1.149843764	11.41408472	0.27627149
GLYATL1	0.190819632	13.84124508	3.06863486	2.948456062	4.548721849
FYB1	0.563636363	3.934667165	2.854862858	4.677156551	0.333209091
RAB11FIP3	0.049212034	28.34101797	0.921030639	7.574681214	0.358064866
CYYR1	0.046670299	79.37713402	4.371606651	8.669256221	3.805584695
EBF1	0.204375701	13.90298379	3.665849491	1.906641878	3.773463119
PDGFB	0.283695651	11.54584372	7.240624033	12.41591751	1.075265613
MAP3K7CL	0.257885436	55.13901669	1.467926006	11.7554468	0.548735874
RGS10	0.023020086	24.7107549	0.960033506	2.545523872	1.442060668
HLA-E	0.15756872	32.8028231	0.610718113	7.377577909	0.341971628
CSPG4	0.112956099	3.661145775	1.413307919	1.322912198	3.059617941
IFI44L	0.614235193	39.6266552	7.468796314	10.39689988	0.386713732
KCNJ12	0.07851249	31.72609941	2.133728664	2.068336034	2.443395239
PIK3C2A	0.027529011	86.70106416	0.974208376	14.33045233	0.217936172
PRAP1	0.366699956	21.45300277	2.078964706	5.666907952	2.097028808
SAMHD1	0.036458334	50.14830414	1.263536414	6.14864797	0.434543342
CAVIN1	0.104197056	19.83519737	1.830670954	4.063214226	1.085042051
CFAP45	0.440524394	3.898257829	12.20124999	4.766384749	0.32036951
RPL32	0.024242425	153.2492204	2.218462054	14.98551401	0.305731118
CA4	0.380952388	8.174466972	1.939867982	2.757760279	1.361377448
PAX8	0.204548907	45.84929835	1.162350837	21.55014638	2.879852087
MSRA	0.695195884	2.984528246	3.188381236	6.337559798	0.233949927
KCTD12	0.077512823	54.55567856	1.769615949	6.524822172	0.77445105
DHRS3	0.131329785	3.375953909	2.967973589	8.03133277	0.44978356
PDXK	0.211277745	28.53373002	0.189199944	8.050980998	0.257226287
MME	0.030388777	37.43086479	2.522295511	8.71246853	3.924831256
CXCL1	0.063439276	50.17221181	3.440223111	4.893086595	4.460359066
RNASET2	0.059155486	41.12834449	0.922110677	6.274174739	0.427766133
DNASE1	0.448995858	1.333677847	0.611813805	7.484779548	0.244329629
SHMT1	0.209436431	32.66030176	0.979266867	12.17279333	0.432634861
SLC38A1	0.218507752	44.77313034	9.368893964	8.82176102	7.601186095
ANK2	0	37.78568263	2.691062304	1.669826988	7.38446438
HLA-DRB5	0.200000003	21.71518263	6.210880211	4.659281918	1.046801966
HLA-C	0.088207547	45.62617715	1.136503778	14.87963478	0.460005422
ALDH4A1	0.274875787	8.518657531	4.468222426	20.46568198	0.630477929
CST3	0.0965438	42.82816523	0.943170695	7.179870777	0.499166092
DHRS4L2	0.095997023	29.16247725	2.094300617	7.552695593	0.499281402
CLDN2	0	2.055786302	8.9841842	6.352141472	1.106459537
SFRP1	0.092542503	13.28222317	1.327713038	1.921734389	3.689012727
FAM151A	0.587773286	54.20884089	0.211581283	7.815669747	0.48888292
NUCB1	0.195380941	100.2309723	3.074547026	12.8270591	0.300205364
PDLIM1	0.023510647	34.62928408	0.64793944	3.231179544	0.891548031
CCDC80	0.0625	28.08621809	6.27667982	6.213962899	6.606615488
SMIM24	0.264020702	12.77614306	1.217617153	7.14415641	0.56033719
AGXT2	0.521974513	42.42446003	1.158337993	8.820010535	1.397000576
NTRK3	0.061666667	4.885619053	3.718065811	0.639802472	7.070136372
SLC3A1	0.392859595	85.40820834	1.078891189	14.70782491	0.297400594
ACAA1	0.403421539	10.88287143	5.382870325	14.17904117	0.281506032
FN1	0.040364023	14.60860429	3.166949541	1.138597362	5.964566708
IRX3	0.097775158	10.82357718	2.152216347	2.084194954	4.106124144
WIPF3	0.136033037	13.87999088	1.347811495	3.090717819	1.449091142
JUN	0.033696005	57.00323271	0.885405174	15.46829532	0.430262286
USP46	0.053343205	45.52147902	1.008733702	10.48753908	0.282358418
FMO1	0.497543865	57.70736263	5.364305663	10.45576642	0.76728555
RNF144B	0.102799084	77.42107511	3.610277462	16.39243553	0.944298315
EMX1	0.304990306	3.100425235	6.999725018	3.911137413	2.927873496
RALBP1	0.070112267	57.65256127	0.799708869	12.21695245	0.384094165
KLHL31	0.333333343	5.86543629	2.017241417	1.683477102	1.525872883
FILIP1L	0.082149209	72.63826605	4.541196462	7.873911017	0.903965376
NQO2	0.437331271	29.95532602	0.55327073	7.255157893	0.323780254
KLHL23	0.096069988	46.97211256	2.123750833	4.229724735	0.58964118
PTPRM	0.025217675	40.9957983	0.421577737	14.18086196	0.545851791
SLC7A8	0.221862572	7.063589669	3.869280038	17.32330813	0.940123369
ADAMTS6	0.317073166	4.044938439	6.823985566	1.163067159	3.135631757
APOM	0.447885677	26.28322642	6.478325253	11.2021512	0.319273059
SMIM22	0.455067907	2.563126302	1.472256471	3.998307911	0.133768544
MSRB3	0.128622106	27.25670843	1.61416256	1.680003653	2.055435277
CRIP2	0.057755217	10.41574168	1.38337898	4.290379155	0.873407327
DNPH1	0.299031005	21.22284716	0.858316224	8.560742097	0.366665848
GSN	0.075330707	47.34270077	0.605552092	10.62405536	0.208370498
ITGA5	0.1796875	0.899312968	0.839118725	2.586879742	1.703461551
ITGB1	0.040587824	63.07747365	0.423482546	11.21068982	0.362303988
TGFBR3	0.03811597	92.16155907	1.378013198	11.00044086	0.898006997
ITGA11	0.066775771	7.213852074	2.890657782	1.107577942	6.174457994
SLC7A7	0.413868486	60.63634546	2.962827405	15.99109017	0.810862831
TACSTD2	0.092903619	14.28275212	1.401397636	6.903213242	1.978064902
CXCL14	0.128547045	79.00301408	1.479680262	15.22942436	3.678692204
COL12A1	0.059753964	23.54973702	7.91042157	2.738547956	9.866143241
PPP1R12A	0.009803922	142.7383208	0.899501337	18.85740824	0.343586347
SLC16A7	0.064685316	71.97653811	2.982415529	11.18354656	0.78314983
TSPAN7	0.305596092	14.04298745	0.367756711	2.362443417	0.582832558
GLIPR1	0.175643799	39.83767415	8.950827218	7.62400658	1.065714352
MAP3K20	0.022420635	29.88178496	0.65341613	3.8311899	1.652992703
AKR7A3	0.320957922	39.11753013	1.426370847	9.612929808	0.556957377
PARP14	0.173174262	96.02824109	3.261778639	23.32254225	0.397564514
RPL23A	0.136344307	41.52124747	1.440090808	9.384912959	0.245454372
MYL12A	0.253101453	63.79107314	1.063977336	21.8355876	0.503205165
CPVL	0.020939932	97.82316203	4.472523501	8.256541806	2.507347024
GIPC2	0.248458548	58.28419821	2.424486117	10.7136379	1.560841095
QPRT	0.285882866	24.73867926	2.160236057	11.1747359	0.309976973
RPS10	0.033333334	119.7199742	0.769652814	14.2969017	0.242823056
SPTBN2	0.128641112	15.16174068	0.88087671	4.166907703	0.747480933
ISG20	0.184079031	14.58147665	6.564404465	12.34330847	0.699259045
GPD1	0	34.93176743	4.381905013	15.52794415	0.295617112
TMPRSS4	0.570232978	1.187451011	2.483059004	4.017819303	0.615146118
CLCNKB	0.516727454	3.092532212	0.183316399	6.782812975	1.670766536
SLC22A6	0.509710964	40.77040846	0.758128284	12.06114553	1.695033906
PGF	0.212142937	5.710051531	1.29498328	1.800525596	0.73054259
PPP1R16A	0.069571768	32.08233462	0.530625685	4.644315579	0.317784315
FSCN1	0.116433913	5.261985675	1.308244888	1.445778472	1.45191193
WTIP	0.104365205	5.138691505	0.394022912	2.246345968	1.704114873
FAM107A	0.1292517	36.44471767	9.864825659	12.1860355	1.219047144
GATA3-AS1	0.132453168	7.452972864	1.586157234	2.370342977	2.984020577
CTSD	0.201535278	90.37419331	3.838761634	22.01416725	0.37052278
